disease,symptoms
Acne,"pimples, redness, skin inflammation, whiteheads"
Acne,"pimples, redness, blackheads"
Acne,"pimples, whiteheads, blackheads"
Acne,"pimples, redness, whiteheads"
Acne,"pimples, redness, skin inflammation"
Acne,"pimples, skin inflammation, blackheads"
Acne,"pimples, skin inflammation, whiteheads"
Acne,"redness, skin inflammation, blackheads"
Acne,"pimples, skin inflammation, whiteheads, blackheads"
Acne,"pimples, redness, skin inflammation, whiteheads, blackheads"
Acne,"redness, whiteheads, blackheads"
Acne,"pimples, redness, skin inflammation, blackheads"
Acne,"skin inflammation, whiteheads, blackheads"
Acne,"redness, skin inflammation, whiteheads"
Acne,"pimples, redness, whiteheads, blackheads"
Acne,"redness, skin inflammation, whiteheads, blackheads"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, watery eyes"
Allergic Rhinitis,"sneezing, runny nose, watery eyes"
Allergic Rhinitis,"sneezing, runny nose, nasal congestion"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, nasal congestion, watery eyes"
Allergic Rhinitis,"sneezing, itchy eyes, watery eyes"
Allergic Rhinitis,"runny nose, itchy eyes, watery eyes"
Allergic Rhinitis,"runny nose, nasal congestion, watery eyes"
Allergic Rhinitis,"sneezing, itchy eyes, nasal congestion"
Allergic Rhinitis,"sneezing, itchy eyes, nasal congestion, watery eyes"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, nasal congestion"
Allergic Rhinitis,"sneezing, runny nose, nasal congestion, watery eyes"
Allergic Rhinitis,"runny nose, itchy eyes, nasal congestion, watery eyes"
Allergic Rhinitis,"itchy eyes, nasal congestion, watery eyes"
Allergic Rhinitis,"sneezing, nasal congestion, watery eyes"
Allergic Rhinitis,"runny nose, itchy eyes, nasal congestion"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes"
Anemia,"fatigue, pale skin, shortness of breath"
Anemia,"weakness, pale skin, shortness of breath"
Anemia,"fatigue, weakness, pale skin, shortness of breath"
Anemia,"fatigue, weakness, pale skin"
Anemia,"fatigue, weakness, shortness of breath"
Angina,"fatigue, chest tightness, pressure in chest"
Angina,"chest pain, fatigue, chest tightness"
Angina,"shortness of breath, chest tightness, pressure in chest"
Angina,"chest pain, shortness of breath, pressure in chest"
Angina,"chest pain, shortness of breath, fatigue, chest tightness"
Angina,"chest pain, fatigue, chest tightness, pressure in chest"
Angina,"shortness of breath, fatigue, pressure in chest"
Angina,"shortness of breath, fatigue, chest tightness"
Angina,"chest pain, shortness of breath, chest tightness"
Angina,"shortness of breath, fatigue, chest tightness, pressure in chest"
Angina,"chest pain, shortness of breath, chest tightness, pressure in chest"
Angina,"chest pain, shortness of breath, fatigue, pressure in chest"
Angina,"chest pain, shortness of breath, fatigue"
Angina,"chest pain, shortness of breath, fatigue, chest tightness, pressure in chest"
Angina,"chest pain, chest tightness, pressure in chest"
Angina,"chest pain, fatigue, pressure in chest"
Appendicitis,"nausea, vomiting, loss of appetite"
Appendicitis,"severe abdominal pain, nausea, loss of appetite"
Appendicitis,"nausea, vomiting, fever, loss of appetite"
Appendicitis,"severe abdominal pain, vomiting, fever"
Appendicitis,"severe abdominal pain, vomiting, fever, loss of appetite"
Appendicitis,"severe abdominal pain, nausea, vomiting, fever, loss of appetite"
Appendicitis,"severe abdominal pain, vomiting, loss of appetite"
Appendicitis,"severe abdominal pain, nausea, vomiting, loss of appetite"
Appendicitis,"severe abdominal pain, nausea, vomiting"
Appendicitis,"severe abdominal pain, nausea, vomiting, fever"
Appendicitis,"severe abdominal pain, fever, loss of appetite"
Appendicitis,"severe abdominal pain, nausea, fever, loss of appetite"
Appendicitis,"nausea, fever, loss of appetite"
Appendicitis,"nausea, vomiting, fever"
Appendicitis,"vomiting, fever, loss of appetite"
Appendicitis,"severe abdominal pain, nausea, fever"
Arrhythmia,"palpitations, dizziness, fatigue, shortness of breath"
Arrhythmia,"palpitations, dizziness, fatigue"
Arrhythmia,"dizziness, fatigue, shortness of breath"
Arrhythmia,"palpitations, fatigue, shortness of breath"
Arrhythmia,"palpitations, dizziness, shortness of breath"
Arthritis,"joint pain, swelling, reduced movement"
Arthritis,"joint pain, stiffness, swelling"
Arthritis,"stiffness, swelling, reduced movement"
Arthritis,"joint pain, stiffness, swelling, reduced movement"
Arthritis,"joint pain, stiffness, reduced movement"
Asthma,"shortness of breath, chest tightness, fatigue"
Asthma,"shortness of breath, cough, fatigue"
Asthma,"wheezing, shortness of breath, chest tightness, fatigue"
Asthma,"wheezing, cough, fatigue"
Asthma,"shortness of breath, chest tightness, cough"
Asthma,"wheezing, shortness of breath, chest tightness, cough"
Asthma,"wheezing, shortness of breath, cough, fatigue"
Asthma,"chest tightness, cough, fatigue"
Asthma,"wheezing, chest tightness, cough"
Asthma,"wheezing, shortness of breath, chest tightness, cough, fatigue"
Asthma,"wheezing, shortness of breath, chest tightness"
Asthma,"wheezing, shortness of breath, fatigue"
Asthma,"wheezing, chest tightness, fatigue"
Asthma,"wheezing, shortness of breath, cough"
Asthma,"shortness of breath, chest tightness, cough, fatigue"
Asthma,"wheezing, chest tightness, cough, fatigue"
Atherosclerosis,"chest pain, shortness of breath, numbness in limbs"
Atherosclerosis,"chest pain, shortness of breath, fatigue"
Atherosclerosis,"chest pain, leg pain during walking, numbness in limbs"
Atherosclerosis,"chest pain, fatigue, leg pain during walking"
Atherosclerosis,"chest pain, shortness of breath, fatigue, leg pain during walking"
Atherosclerosis,"shortness of breath, leg pain during walking, numbness in limbs"
Atherosclerosis,"chest pain, fatigue, leg pain during walking, numbness in limbs"
Atherosclerosis,"shortness of breath, fatigue, leg pain during walking"
Atherosclerosis,"chest pain, fatigue, numbness in limbs"
Atherosclerosis,"fatigue, leg pain during walking, numbness in limbs"
Atherosclerosis,"shortness of breath, fatigue, numbness in limbs"
Atherosclerosis,"shortness of breath, fatigue, leg pain during walking, numbness in limbs"
