disease,symptoms,,,,,,,
Common Cold,"runny nose,sneezing,sore throat,cough,congestion,headache",runny nose,sneezing,sore throat,cough,congestion,headache,
Influenza,"fever,chills,cough,fatigue,muscle pain,headache,sore throat",fever,chills,cough,fatigue,muscle pain,headache,sore throat
COVID-19,"fever,dry cough,fatigue,loss of smell,loss of taste,shortness of breath",fever,dry cough,fatigue,loss of smell,loss of taste,shortness of breath,
Pneumonia,"fever,cough,chest pain,shortness of breath,chills,fatigue",fever,cough,chest pain,shortness of breath,chills,fatigue,
Bronchitis,"cough,mucus production,fatigue,shortness of breath,chest discomfort",cough,mucus production,fatigue,shortness of breath,chest discomfort,,
Asthma,"wheezing,shortness of breath,chest tightness,cough,fatigue",wheezing,shortness of breath,chest tightness,cough,fatigue,,
Tuberculosis,"persistent cough,weight loss,night sweats,fever,fatigue,chest pain",persistent cough,weight loss,night sweats,fever,fatigue,chest pain,
Sinusitis,"headache,facial pain,nasal congestion,runny nose,fever",headache,facial pain,nasal congestion,runny nose,fever,,
Allergic Rhinitis,"sneezing,runny nose,itchy eyes,nasal congestion,watery eyes",sneezing,runny nose,itchy eyes,nasal congestion,watery eyes,,
COPD,"chronic cough,shortness of breath,wheezing,fatigue,chest tightness",chronic cough,shortness of breath,wheezing,fatigue,chest tightness,,
Dengue,"high fever,severe headache,joint pain,muscle pain,rash,nausea",high fever,severe headache,joint pain,muscle pain,rash,nausea,
Malaria,"fever,chills,sweating,headache,nausea,fatigue",fever,chills,sweating,headache,nausea,fatigue,
Typhoid,"prolonged fever,abdominal pain,weakness,loss of appetite,headache",prolonged fever,abdominal pain,weakness,loss of appetite,headache,,
Chickenpox,"rash,fever,fatigue,loss of appetite,headache",rash,fever,fatigue,loss of appetite,headache,,
Measles,"rash,fever,cough,runny nose,red eyes",rash,fever,cough,runny nose,red eyes,,
Mumps,"swollen glands,fever,headache,muscle pain,fatigue",swollen glands,fever,headache,muscle pain,fatigue,,
Rubella,"rash,fever,headache,joint pain",rash,fever,headache,joint pain,,,
Hepatitis A,"fatigue,nausea,abdominal pain,loss of appetite,jaundice",fatigue,nausea,abdominal pain,loss of appetite,jaundice,,
Hepatitis B,"fatigue,nausea,abdominal pain,jaundice,joint pain",fatigue,nausea,abdominal pain,jaundice,joint pain,,
Hepatitis C,"fatigue,nausea,abdominal discomfort,jaundice,loss of appetite",fatigue,nausea,abdominal discomfort,jaundice,loss of appetite,,
Gastritis,"abdominal pain,nausea,vomiting,bloating,loss of appetite",abdominal pain,nausea,vomiting,bloating,loss of appetite,,
GERD,"heartburn,chest discomfort,nausea,regurgitation,sore throat",heartburn,chest discomfort,nausea,regurgitation,sore throat,,
Appendicitis,"severe abdominal pain,nausea,vomiting,fever,loss of appetite",severe abdominal pain,nausea,vomiting,fever,loss of appetite,,
Food Poisoning,"nausea,vomiting,diarrhea,abdominal cramps,fever",nausea,vomiting,diarrhea,abdominal cramps,fever,,
Irritable Bowel Syndrome,"abdominal pain,bloating,diarrhea,constipation",abdominal pain,bloating,diarrhea,constipation,,,
Peptic Ulcer,"burning stomach pain,nausea,bloating,loss of appetite",burning stomach pain,nausea,bloating,loss of appetite,,,
Gallstones,"abdominal pain,nausea,vomiting,indigestion",abdominal pain,nausea,vomiting,indigestion,,,
Pancreatitis,"severe abdominal pain,nausea,vomiting,fever",severe abdominal pain,nausea,vomiting,fever,,,
Diarrhea,"watery stools,abdominal cramps,nausea,weakness",watery stools,abdominal cramps,nausea,weakness,,,
Migraine,"headache,nausea,vomiting,light sensitivity,blurred vision",headache,nausea,vomiting,light sensitivity,blurred vision,,
Tension Headache,"headache,neck pain,fatigue,pressure around head",headache,neck pain,fatigue,pressure around head,,,
Stroke,"sudden weakness,confusion,trouble speaking,vision problems",sudden weakness,confusion,trouble speaking,vision problems,,,
Parkinson’s Disease,"tremor,slow movement,rigidity,balance problems",tremor,slow movement,rigidity,balance problems,,,
Multiple Sclerosis,"numbness,weakness,vision problems,fatigue",numbness,weakness,vision problems,fatigue,,,
Meningitis,"fever,stiff neck,headache,nausea,confusion",fever,stiff neck,headache,nausea,confusion,,
Brain Tumor,"persistent headache,vision problems,nausea,seizures",persistent headache,vision problems,nausea,seizures,,,
Hypertension,"headache,chest pain,vision problems,fatigue",headache,chest pain,vision problems,fatigue,,,
Heart Attack,"chest pain,shortness of breath,nausea,sweating,arm pain",chest pain,shortness of breath,nausea,sweating,arm pain,,
Arrhythmia,"palpitations,dizziness,fatigue,shortness of breath",palpitations,dizziness,fatigue,shortness of breath,,,
Heart Failure,"shortness of breath,fatigue,swelling in legs,cough",shortness of breath,fatigue,swelling in legs,cough,,,
Diabetes Type 1,"frequent urination,increased thirst,fatigue,weight loss",frequent urination,increased thirst,fatigue,weight loss,,,
Diabetes Type 2,"frequent urination,increased thirst,fatigue,blurred vision",frequent urination,increased thirst,fatigue,blurred vision,,,
Hypothyroidism,"fatigue,weight gain,cold sensitivity,slow heart rate",fatigue,weight gain,cold sensitivity,slow heart rate,,,
Hyperthyroidism,"weight loss,rapid heartbeat,anxiety,sweating",weight loss,rapid heartbeat,anxiety,sweating,,,
Anemia,"fatigue,weakness,pale skin,shortness of breath",fatigue,weakness,pale skin,shortness of breath,,,
Vitamin B12 Deficiency,"fatigue,numbness,weakness,dizziness",fatigue,numbness,weakness,dizziness,,,
