disease,symptoms
Arthritis,"joint pain, stiffness, swelling"
Appendicitis,"severe abdominal pain, vomiting, fever, loss of appetite"
Hepatitis B,"nausea, abdominal pain, jaundice, joint pain"
Heart Attack,"chest pain, sweating, arm pain"
Common Cold,"runny nose, sore throat, headache"
COVID-19,"fever, fatigue, loss of taste, shortness of breath"
Fungal Infection,"itching, skin peeling, burning sensation"
COVID-19,"fever, loss of taste, shortness of breath"
Obesity,"fatigue, excessive sweating, snoring"
Osteoporosis,"bone pain, fractures, loss of height"
Vitamin B12 Deficiency,"numbness, weakness, dizziness"
Atherosclerosis,"chest pain, shortness of breath, fatigue, numbness in limbs"
Dengue,"severe headache, muscle pain, rash"
Osteoporosis,"bone pain, fractures, back pain, loss of height"
Constipation,"abdominal discomfort, bloating, infrequent stools, hard stools"
Obesity,"fatigue, joint pain, snoring"
Influenza,"chills, cough, muscle pain, headache"
Bell?s Palsy,"facial weakness, drooping eyelid, difficulty speaking, loss of facial expression"
Tuberculosis,"persistent cough, weight loss, fatigue"
Bronchitis,"mucus production, shortness of breath, chest discomfort"
Hepatitis A,"fatigue, nausea, jaundice"
Fungal Infection,"itching, red rash, skin peeling, skin irritation"
Appendicitis,"severe abdominal pain, nausea, vomiting, fever, loss of appetite"
Vertigo,"dizziness, spinning sensation, head movement sensitivity"
Pneumonia,"fever, cough, chest pain, shortness of breath, chills"
Hepatitis A,"nausea, abdominal pain, loss of appetite"
Influenza,"fever, fatigue, muscle pain, headache"
Acne,"pimples, redness, whiteheads"
Gout,"severe joint pain, joint stiffness, warm joints"
Epilepsy,"seizures, confusion, loss of awareness"
Heart Attack,"chest pain, shortness of breath, nausea"
Constipation,"abdominal discomfort, bloating, infrequent stools, straining during bowel movements"
Atherosclerosis,"chest pain, fatigue, leg pain during walking"
Mumps,"swollen glands, headache, muscle pain"
Epilepsy,"seizures, confusion, loss of awareness, uncontrolled jerking movements"
Eczema,"itchy skin, red rash, skin cracking"
Eczema,"itchy skin, dry skin, skin inflammation"
Common Cold,"runny nose, sneezing, cough, congestion"
Gastritis,"abdominal pain, nausea, bloating, loss of appetite"
Malaria,"fever, headache, nausea"
Tuberculosis,"persistent cough, weight loss, fever"
COVID-19,"fever, fatigue, shortness of breath"
Epilepsy,"seizures, confusion, uncontrolled jerking movements"
Hepatitis C,"fatigue, nausea, abdominal discomfort"
Common Cold,"runny nose, sneezing, sore throat, cough, congestion"
COPD,"chronic cough, shortness of breath, chest tightness"
Nephritis,"high blood pressure, foamy urine, fatigue"
Asthma,"wheezing, shortness of breath, cough"
Heart Attack,"shortness of breath, nausea, sweating"
Pneumonia,"cough, chest pain, shortness of breath, fatigue"
Influenza,"fever, chills, cough, fatigue, headache"
Stroke,"sudden weakness, confusion, trouble speaking"
Cellulitis,"skin redness, swelling, warm skin, fever"
Influenza,"fever, chills, fatigue, headache"
Allergic Rhinitis,"sneezing, itchy eyes, nasal congestion"
Gout,"swelling, redness in joints, joint stiffness, warm joints"
Influenza,"fever, cough, muscle pain, headache"
Arthritis,"joint pain, swelling, reduced movement"
Dengue,"high fever, severe headache, rash, nausea"
Heart Failure,"fatigue, swelling in legs, cough"
Urinary Tract Infection,"burning urination, pelvic pain, strong urine odor"
Malaria,"fever, sweating, headache, nausea, fatigue"
Migraine,"headache, nausea, vomiting, blurred vision"
Psoriasis,"red patches, scaly skin, itching"
COVID-19,"fever, dry cough, loss of smell"
Osteoporosis,"bone pain, fractures, back pain"
Dengue,"high fever, joint pain, muscle pain"
Influenza,"chills, fatigue, muscle pain"
Influenza,"chills, cough, fatigue, muscle pain"
Heart Attack,"chest pain, nausea, sweating, arm pain"
Nephritis,"high blood pressure, fatigue, decreased urine output"
Hepatitis C,"fatigue, nausea, jaundice, loss of appetite"
Pericarditis,"fever, weakness, sharp chest pain when breathing, heart palpitations"
Migraine,"headache, nausea, light sensitivity"
Hepatitis B,"fatigue, nausea, joint pain"
Meningitis,"fever, headache, nausea, confusion"
Psoriasis,"red patches, itching, skin dryness"
COVID-19,"fever, dry cough, fatigue, loss of taste"
Epilepsy,"confusion, temporary staring spells, uncontrolled jerking movements"
Anemia,"fatigue, weakness, pale skin"
Gastritis,"nausea, vomiting, loss of appetite"
Epilepsy,"confusion, loss of awareness, temporary staring spells"
Bell?s Palsy,"facial weakness, drooping eyelid, drooling"
Food Poisoning,"nausea, abdominal cramps, fever"
Eczema,"red rash, skin cracking, skin inflammation"
Cardiomyopathy,"fatigue, shortness of breath, swelling in legs, irregular heartbeat"
Urinary Tract Infection,"frequent urination, pelvic pain, cloudy urine"
Fungal Infection,"red rash, skin peeling, burning sensation, skin irritation"
Nephritis,"swelling in face, fatigue, decreased urine output"
Dengue,"high fever, severe headache, joint pain, muscle pain, rash"
Atherosclerosis,"shortness of breath, fatigue, leg pain during walking, numbness in limbs"
Bronchitis,"cough, mucus production, shortness of breath"
Malaria,"fever, headache, fatigue"
Angina,"chest pain, shortness of breath, fatigue, chest tightness, pressure in chest"
Angina,"chest pain, chest tightness, pressure in chest"
Acne,"pimples, skin inflammation, whiteheads, blackheads"
Gout,"severe joint pain, swelling, redness in joints, joint stiffness"
Fungal Infection,"itching, red rash, skin peeling"
Gastritis,"vomiting, bloating, loss of appetite"
Chickenpox,"rash, fever, fatigue"
COPD,"chronic cough, wheezing, fatigue"
Malaria,"fever, chills, nausea"
Muscle Strain,"muscle pain, swelling, muscle stiffness"
Obesity,"shortness of breath, excessive sweating, snoring"
Gastritis,"abdominal pain, vomiting, bloating, loss of appetite"
Pancreatitis,"severe abdominal pain, nausea, vomiting, fever"
Influenza,"cough, muscle pain, sore throat"
COPD,"chronic cough, wheezing, chest tightness"
Bell?s Palsy,"facial weakness, drooping eyelid, loss of facial expression, drooling"
Parkinson?s Disease,"tremor, slow movement, rigidity"
Anemia,"fatigue, weakness, pale skin, shortness of breath"
Dengue,"high fever, joint pain, muscle pain, nausea"
Asthma,"wheezing, shortness of breath, chest tightness, cough"
Urinary Tract Infection,"burning urination, frequent urination, cloudy urine"
Constipation,"abdominal discomfort, infrequent stools, hard stools"
Sinusitis,"facial pain, runny nose, fever"
Measles,"rash, fever, runny nose, red eyes"
Malaria,"chills, headache, nausea"
Anemia,"fatigue, pale skin, shortness of breath"
Malaria,"chills, sweating, headache, fatigue"
Dengue,"severe headache, joint pain, muscle pain, rash"
Influenza,"fever, cough, headache, sore throat"
COVID-19,"fever, loss of smell, loss of taste, shortness of breath"
Food Poisoning,"nausea, diarrhea, abdominal cramps"
Diarrhea,"watery stools, abdominal cramps, nausea, weakness"
Eczema,"itchy skin, red rash, dry skin, skin cracking"
COVID-19,"fever, dry cough, loss of taste, shortness of breath"
Bell?s Palsy,"drooping eyelid, difficulty speaking, drooling"
Tuberculosis,"persistent cough, fever, chest pain"
Measles,"fever, cough, runny nose"
Influenza,"fever, fatigue, headache, sore throat"
Heart Failure,"shortness of breath, fatigue, swelling in legs, cough"
Bronchitis,"cough, fatigue, shortness of breath, chest discomfort"
Hypothyroidism,"fatigue, weight gain, cold sensitivity"
Acne,"pimples, redness, whiteheads, blackheads"
Hepatitis C,"fatigue, abdominal discomfort, jaundice"
Parkinson?s Disease,"tremor, slow movement, balance problems"
Brain Tumor,"persistent headache, vision problems, nausea, seizures"
Influenza,"fever, fatigue, muscle pain, headache, sore throat"
Sinusitis,"headache, facial pain, nasal congestion, runny nose"
Food Poisoning,"vomiting, diarrhea, abdominal cramps"
Irritable Bowel Syndrome,"abdominal pain, diarrhea, constipation"
Vitamin D Deficiency,"fatigue, muscle weakness, bone tenderness, frequent bone fractures"
Kidney Infection,"fever, back pain, nausea, frequent urination"
Psoriasis,"red patches, scaly skin, itching, skin flaking, skin dryness"
Muscle Strain,"muscle pain, muscle stiffness, bruising"
Bronchitis,"cough, fatigue, shortness of breath"
Bell?s Palsy,"facial weakness, difficulty speaking, loss of facial expression"
Malaria,"fever, chills, sweating, nausea"
Measles,"rash, fever, runny nose"
Eczema,"itchy skin, red rash, dry skin, skin inflammation"
Hyperthyroidism,"weight loss, rapid heartbeat, sweating"
Pneumonia,"shortness of breath, chills, fatigue"
Food Poisoning,"diarrhea, abdominal cramps, fever"
GERD,"heartburn, nausea, regurgitation, sore throat"
Pneumonia,"fever, cough, chills, fatigue"
Atherosclerosis,"chest pain, shortness of breath, numbness in limbs"
Constipation,"abdominal discomfort, bloating, hard stools"
Hepatitis C,"nausea, abdominal discomfort, jaundice, loss of appetite"
Common Cold,"runny nose, cough, congestion"
Sinusitis,"headache, facial pain, nasal congestion, fever"
COVID-19,"dry cough, fatigue, loss of taste"
Common Cold,"runny nose, sore throat, cough"
Bell?s Palsy,"facial weakness, drooping eyelid, difficulty speaking"
GERD,"nausea, regurgitation, sore throat"
Vitamin D Deficiency,"bone pain, fatigue, muscle weakness, frequent bone fractures"
Cellulitis,"skin redness, swelling, warm skin"
Vertigo,"balance problems, nausea, head movement sensitivity"
Mumps,"headache, muscle pain, fatigue"
Constipation,"abdominal discomfort, bloating, straining during bowel movements, hard stools"
Nephritis,"high blood pressure, foamy urine, decreased urine output"
Epilepsy,"seizures, loss of awareness, temporary staring spells, uncontrolled jerking movements"
Arthritis,"joint pain, stiffness, reduced movement"
Cellulitis,"skin redness, swelling, pain, warm skin"
Acne,"pimples, redness, skin inflammation, whiteheads, blackheads"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, nasal congestion, watery eyes"
COPD,"wheezing, fatigue, chest tightness"
Gout,"swelling, redness in joints, warm joints"
COVID-19,"fatigue, loss of taste, shortness of breath"
Food Poisoning,"nausea, diarrhea, fever"
Tuberculosis,"persistent cough, weight loss, fever, chest pain"
Cardiomyopathy,"shortness of breath, irregular heartbeat, dizziness"
Food Poisoning,"nausea, vomiting, fever"
Vertigo,"nausea, spinning sensation, head movement sensitivity"
Malaria,"fever, chills, sweating, headache, nausea"
COPD,"chronic cough, shortness of breath, wheezing, chest tightness"
Asthma,"wheezing, shortness of breath, chest tightness, cough, fatigue"
Eczema,"itchy skin, red rash, dry skin"
Psoriasis,"scaly skin, skin flaking, skin dryness"
Migraine,"headache, nausea, vomiting, light sensitivity, blurred vision"
Influenza,"fever, cough, fatigue, headache"
Common Cold,"sore throat, congestion, headache"
Constipation,"bloating, straining during bowel movements, hard stools"
Influenza,"fever, chills, headache, sore throat"
Tuberculosis,"weight loss, fever, chest pain"
Tuberculosis,"persistent cough, fever, fatigue, chest pain"
Vitamin D Deficiency,"bone pain, muscle weakness, bone tenderness, frequent bone fractures"
Osteoporosis,"bone pain, fractures, stooped posture"
Cardiomyopathy,"fatigue, shortness of breath, swelling in legs, dizziness"
Common Cold,"sneezing, sore throat, cough"
Bell?s Palsy,"facial weakness, difficulty speaking, loss of facial expression, drooling"
Nephritis,"swelling in face, high blood pressure, foamy urine, fatigue, decreased urine output"
Atherosclerosis,"chest pain, fatigue, leg pain during walking, numbness in limbs"
Malaria,"headache, nausea, fatigue"
Stroke,"sudden weakness, confusion, vision problems"
COVID-19,"dry cough, loss of smell, loss of taste"
Fungal Infection,"itching, burning sensation, skin irritation"
Fungal Infection,"red rash, skin peeling, skin irritation"
Cellulitis,"skin redness, swelling, pain"
GERD,"heartburn, chest discomfort, regurgitation"
Migraine,"headache, vomiting, light sensitivity, blurred vision"
Vitamin B12 Deficiency,"fatigue, numbness, weakness"
Brain Tumor,"vision problems, nausea, seizures"
Appendicitis,"severe abdominal pain, fever, loss of appetite"
Cellulitis,"swelling, pain, fever"
Osteoporosis,"fractures, back pain, loss of height, stooped posture"
Typhoid,"prolonged fever, abdominal pain, weakness, loss of appetite"
Rubella,"rash, headache, joint pain"
Heart Failure,"shortness of breath, fatigue, cough"
Muscle Strain,"swelling, muscle stiffness, bruising"
Hypertension,"headache, chest pain, vision problems, fatigue"
Gout,"swelling, redness in joints, joint stiffness"
COPD,"shortness of breath, wheezing, fatigue"
COVID-19,"fever, fatigue, loss of smell, shortness of breath"
Tension Headache,"headache, neck pain, fatigue"
Eczema,"itchy skin, dry skin, skin cracking"
Common Cold,"runny nose, sore throat, cough, congestion"
Typhoid,"prolonged fever, weakness, headache"
COVID-19,"dry cough, fatigue, shortness of breath"
Dengue,"high fever, severe headache, muscle pain, nausea"
COPD,"chronic cough, shortness of breath, wheezing, fatigue, chest tightness"
Tuberculosis,"weight loss, fatigue, chest pain"
Multiple Sclerosis,"numbness, vision problems, fatigue"
Pericarditis,"chest pain, fever, heart palpitations"
Tuberculosis,"persistent cough, night sweats, fever, chest pain"
Osteoporosis,"bone pain, loss of height, stooped posture"
Dengue,"high fever, joint pain, muscle pain, rash"
Chickenpox,"rash, fatigue, loss of appetite, headache"
Nephritis,"swelling in face, high blood pressure, fatigue"
Dengue,"high fever, rash, nausea"
Hepatitis A,"nausea, abdominal pain, jaundice"
Malaria,"fever, chills, fatigue"
Measles,"cough, runny nose, red eyes"
Meningitis,"fever, stiff neck, nausea"
Appendicitis,"severe abdominal pain, nausea, fever"
Malaria,"fever, nausea, fatigue"
COVID-19,"fever, fatigue, loss of smell"
Malaria,"fever, chills, nausea, fatigue"
Chronic Kidney Disease,"fatigue, nausea, loss of appetite"
Tuberculosis,"persistent cough, weight loss, fever, fatigue, chest pain"
Psoriasis,"scaly skin, itching, skin flaking, skin dryness"
Angina,"shortness of breath, chest tightness, pressure in chest"
Common Cold,"sore throat, cough, headache"
Food Poisoning,"nausea, vomiting, diarrhea"
Pneumonia,"chest pain, shortness of breath, chills, fatigue"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, watery eyes"
Gastritis,"nausea, vomiting, bloating"
Appendicitis,"nausea, vomiting, fever"
Hepatitis A,"fatigue, nausea, loss of appetite, jaundice"
Food Poisoning,"nausea, vomiting, diarrhea, abdominal cramps, fever"
Dengue,"high fever, joint pain, muscle pain, rash, nausea"
Bronchitis,"mucus production, fatigue, shortness of breath"
Obesity,"shortness of breath, joint pain, snoring"
Diabetes Type 1,"frequent urination, increased thirst, fatigue, weight loss"
Mumps,"swollen glands, fever, headache"
Malaria,"chills, sweating, headache, nausea, fatigue"
GERD,"heartburn, chest discomfort, nausea, regurgitation, sore throat"
Pneumonia,"cough, chest pain, fatigue"
Angina,"shortness of breath, fatigue, chest tightness"
Heart Attack,"chest pain, nausea, arm pain"
Atherosclerosis,"chest pain, shortness of breath, leg pain during walking"
Bronchitis,"cough, mucus production, fatigue, chest discomfort"
Muscle Strain,"muscle pain, swelling, limited movement, muscle stiffness"
Dengue,"severe headache, joint pain, muscle pain, nausea"
Tuberculosis,"persistent cough, weight loss, chest pain"
Heart Attack,"nausea, sweating, arm pain"
Pneumonia,"fever, cough, shortness of breath, chills, fatigue"
Influenza,"fatigue, muscle pain, headache"
Malaria,"sweating, headache, fatigue"
Chickenpox,"rash, fever, loss of appetite"
Dengue,"high fever, joint pain, rash"
Common Cold,"sneezing, sore throat, cough, congestion"
Rubella,"rash, fever, headache, joint pain"
COPD,"chronic cough, fatigue, chest tightness"
Kidney Infection,"fever, back pain, nausea"
Influenza,"chills, fatigue, muscle pain, headache"
Diabetes Type 1,"increased thirst, fatigue, weight loss"
Muscle Strain,"muscle pain, swelling, limited movement, muscle stiffness, bruising"
Hyperthyroidism,"weight loss, rapid heartbeat, anxiety, sweating"
Cardiomyopathy,"fatigue, swelling in legs, dizziness"
Pericarditis,"chest pain, fever, weakness, sharp chest pain when breathing"
Eczema,"itchy skin, red rash, skin inflammation"
Mumps,"swollen glands, fever, headache, muscle pain"
Irritable Bowel Syndrome,"abdominal pain, bloating, diarrhea, constipation"
COPD,"chronic cough, shortness of breath, fatigue, chest tightness"
Tuberculosis,"weight loss, night sweats, chest pain"
Malaria,"fever, sweating, nausea"
Influenza,"fever, chills, headache"
Influenza,"fever, chills, fatigue, muscle pain"
